PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,InGroup,Deck,Side,CabinPosition,TotalSpent,RoomService_used,RoomService_big_spender,FoodCourt_used,FoodCourt_big_spender,ShoppingMall_used,ShoppingMall_big_spender,Spa_used,Spa_big_spender,VRDeck_used,VRDeck_big_spender,TotalSpent_big_spender
0001_01,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0002_01,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,1,1,0,F,S,Front,736.0,1,0,1,0,1,0,1,1,1,0,0
0003_01,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,2,1,A,S,Front,10383.0,1,0,1,1,0,0,1,1,1,0,1
0003_02,Europa,0,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0,2,1,A,S,Front,5176.0,0,0,1,1,1,1,1,1,1,1,1
0004_01,Earth,0,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,1,1,0,F,S,Front,1091.0,1,1,1,0,1,1,1,1,1,0,0
0005_01,Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,1,1,0,F,P,Front,774.0,0,0,1,1,0,0,1,1,0,0,0
0006_01,Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,1,2,1,F,S,Front,1584.0,1,0,1,1,1,0,0,0,0,0,0
0006_02,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0007_01,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,1,1,0,F,S,Front,1018.0,0,0,1,1,1,0,1,1,0,0,0
0008_01,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0008_02,Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0008_03,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,3,1,B,P,Front,8157.0,1,0,1,1,1,1,1,0,1,1,1
0009_01,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,1,0,F,P,Front,1309.0,1,0,0,0,1,1,0,0,1,0,0
0010_01,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,0,1,0,G,S,Front,809.0,1,1,1,0,1,0,0,0,1,0,0
0011_01,Earth,0,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,1,1,0,F,P,Front,1003.0,1,0,1,1,1,0,1,0,1,0,0
0012_01,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,0,1,0,G,P,Front,908.0,1,0,0,0,1,1,0,0,0,0,0
0014_01,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,256.2,0.0,0.0,0,1,0,F,P,Front,1664.2,1,1,1,0,1,1,0,0,0,0,0
