iter	Logloss
0	0.6833809167
1	0.6725234928
2	0.6621933353
3	0.6530307883
4	0.6443274298
5	0.6359983482
6	0.6278801293
7	0.6208852279
8	0.6126006001
9	0.6050391683
10	0.5975479264
11	0.591328376
12	0.5856970792
13	0.5800197212
14	0.5745603224
15	0.5692025425
16	0.5635903269
17	0.5577412886
18	0.5526703519
19	0.5482262894
20	0.5437756277
21	0.5395568036
22	0.535393992
23	0.5313490806
24	0.5284694711
25	0.5261135785
26	0.5222778321
27	0.5191482061
28	0.5163977887
29	0.5133341979
30	0.5106067846
31	0.5091712412
32	0.5064171102
33	0.5045263005
34	0.5022337323
35	0.4997926086
36	0.4967924802
37	0.4941793999
38	0.4922197554
39	0.4901140573
40	0.4880585091
41	0.4863929963
42	0.4844466935
43	0.4828107086
44	0.4811512047
45	0.4780195989
46	0.4763967046
47	0.4746565587
48	0.4732961898
49	0.4720281047
50	0.4702650889
51	0.4687854802
52	0.4669184269
53	0.4650976841
54	0.4640581419
55	0.4627375565
56	0.4616492771
57	0.4601792382
58	0.4589607488
59	0.4574209763
60	0.4560186458
61	0.454673573
62	0.4530723278
63	0.4524462762
64	0.4513227048
65	0.4504275976
66	0.4496745208
67	0.4487602073
68	0.4481861807
69	0.4470599252
70	0.445950233
71	0.4450257195
72	0.4442289626
73	0.4436245983
74	0.4427490439
75	0.4418160614
76	0.4408708751
77	0.4397408676
78	0.4387944216
79	0.438283737
80	0.4375652902
81	0.4370527933
82	0.4361952806
83	0.4355750989
84	0.4350298943
85	0.434542266
86	0.4336692084
87	0.4328080079
88	0.4319074307
89	0.4309827715
90	0.4305368374
91	0.4300388643
92	0.4294582089
93	0.4287558025
94	0.428170501
95	0.4275149141
96	0.4270187549
97	0.4267663107
98	0.4263541928
99	0.4255749511
100	0.4250188616
101	0.4245263506
102	0.4238944458
103	0.4234644148
104	0.4231375095
105	0.4225561386
106	0.4217657663
107	0.4212551178
108	0.420672755
109	0.4200929291
110	0.4195812875
111	0.4189829869
112	0.418528516
113	0.4181793035
114	0.4179103412
115	0.4175733957
116	0.417090225
117	0.4165808371
118	0.4162302198
119	0.4159003808
120	0.4152705789
121	0.4148862255
122	0.4144524119
123	0.4141120066
124	0.4137793555
125	0.4132885392
126	0.4128629105
127	0.4123569984
128	0.4119452148
