iter	Passed	Remaining
0	3	321
1	5	276
2	10	339
3	12	311
4	15	298
5	20	317
6	24	320
7	26	306
8	29	294
9	31	282
10	34	281
11	37	275
12	40	271
13	43	265
14	45	259
15	48	253
16	52	258
17	55	253
18	58	247
19	60	242
20	63	237
21	66	234
22	69	233
23	72	229
24	75	225
25	77	220
26	80	216
27	83	213
28	88	217
29	91	214
30	94	209
31	96	205
32	102	207
33	105	204
34	107	200
35	110	196
36	113	193
37	116	190
38	119	186
39	121	182
40	124	178
41	126	174
42	130	172
43	133	170
44	136	166
45	138	162
46	141	159
47	143	155
48	146	152
49	149	149
50	152	146
51	154	142
52	157	139
53	159	135
54	164	134
55	166	131
56	170	128
57	173	125
58	175	122
59	180	120
60	183	117
61	187	114
62	189	111
63	192	108
64	195	105
65	198	102
66	201	99
67	203	95
68	206	92
69	208	89
70	213	87
71	215	83
72	217	80
73	220	77
74	223	74
75	228	72
76	230	68
77	233	65
78	235	62
79	238	59
80	240	56
81	245	53
82	248	50
83	251	47
84	254	44
85	256	41
86	261	39
87	264	36
88	267	33
89	269	29
90	272	26
91	276	24
92	279	21
93	282	18
94	285	15
95	287	11
96	290	8
97	293	5
98	295	2
99	298	0
